0,1,2,3,4,5,Actual_Performance
1.0,1000.0,10.0,6.0,6.0,1000.0,5.6506752556930575
3.0,2.0,3.0,1.0,12.0,10.0,12.532584720272707
1.0,100.0,10.0,6.0,1.0,100.0,10.982373290868155
3.0,100.0,100.0,2.0,1.0,1000.0,10.02234984014352
1.0,1000.0,1.0,3.0,6.0,100.0,5.969080164746613
1.0,10000.0,3.0,1.0,6.0,1000.0,4.205214465937764
1.0,10000.0,100.0,3.0,12.0,1000.0,6.100164704447019
3.0,1000.0,3.0,6.0,3.0,1000.0,4.324137334601747
1.0,10.0,10.0,2.0,1.0,10.0,14.799467219180107
1.0,10000.0,2.0,3.0,3.0,10.0,5.741187277528992
3.0,1.0,10.0,6.0,12.0,1000.0,36.98088088458268
1.0,2.0,1.0,3.0,1.0,100.0,21.47904718946668
3.0,10.0,10.0,6.0,1.0,10.0,9.637625289128758
1.0,1000.0,2.0,3.0,6.0,1000.0,5.887201224537855
1.0,1000.0,10.0,3.0,6.0,100.0,5.967299200381907
3.0,100.0,2.0,3.0,12.0,10.0,5.366822304513498
3.0,10000.0,3.0,6.0,3.0,10.0,9.47597839476926
1.0,10.0,1.0,6.0,1.0,1000.0,10.724090597117367
3.0,1.0,10.0,6.0,1.0,10.0,36.497682397167786
1.0,1.0,2.0,6.0,6.0,1000.0,44.82495853691335
1.0,1.0,10.0,2.0,12.0,100.0,118.80576445569142
1.0,2.0,100.0,6.0,3.0,100.0,555.926173004225
1.0,2.0,10.0,2.0,6.0,1000.0,60.16123210203345
1.0,2.0,100.0,2.0,1.0,10.0,533.4186803221849
3.0,1.0,3.0,1.0,6.0,100.0,22.632627195364837
3.0,1.0,100.0,1.0,3.0,100.0,372.3146803678469
1.0,100.0,3.0,1.0,3.0,1000.0,7.777259293824856
3.0,1000.0,1.0,1.0,3.0,1000.0,5.4051132371223165
1.0,100.0,10.0,6.0,3.0,100.0,7.0116393212733135
1.0,10.0,10.0,1.0,6.0,1000.0,13.311148086522465
