0,1,2,Actual_Performance
1.0,6.0,17.0,176.57
1000.0,2.0,6.0,829.61
6.0,3.0,13.0,173.96
10.0,6.0,18.0,148.88
1.0,2.0,10.0,221.13
5.0,6.0,1.0,336.16
7.0,6.0,5.0,222.37
10.0,6.0,1.0,337.42
3.0,2.0,2.0,265.24
10.0,4.0,13.0,173.95
6.0,1.0,18.0,230.71
4.0,1.0,6.0,237.17
6.0,6.0,10.0,179.76
5.0,6.0,9.0,185.28
100.0,2.0,4.0,209.07
7.0,5.0,11.0,202.99
100.0,5.0,11.0,186.86
5.0,2.0,4.0,224.41
9.0,1.0,14.0,185.15
100.0,3.0,18.0,168.52
10000.0,3.0,1.0,7782.2
1.0,2.0,7.0,214.55
10000.0,2.0,11.0,5515.8
1000.0,4.0,16.0,794.02
4.0,5.0,7.0,206.56
1.0,3.0,8.0,225.83
1000.0,6.0,12.0,759.06
5.0,5.0,7.0,193.77
5.0,2.0,12.0,191.29
7.0,2.0,9.0,210.41
10.0,3.0,1.0,325.3
7.0,6.0,15.0,186.39
2.0,4.0,4.0,233.05
10000.0,1.0,1.0,9421.0
1.0,4.0,6.0,221.13
3.0,3.0,16.0,172.01
3.0,3.0,3.0,228.82
9.0,4.0,8.0,190.93
6.0,2.0,7.0,222.3
2.0,1.0,12.0,240.13
7.0,4.0,15.0,160.6
3.0,5.0,13.0,189.93
7.0,3.0,16.0,191.77
2.0,3.0,16.0,184.12
9.0,2.0,11.0,186.58
3.0,5.0,3.0,229.53
9.0,6.0,14.0,170.67
8.0,1.0,18.0,228.11
1.0,1.0,17.0,191.92
5.0,3.0,5.0,221.88
6.0,5.0,10.0,176.3
10.0,4.0,16.0,198.8
6.0,5.0,13.0,173.48
1.0,1.0,14.0,198.18
1000.0,2.0,7.0,869.31
6.0,4.0,2.0,247.85
7.0,3.0,9.0,183.62
7.0,6.0,6.0,192.84
4.0,2.0,8.0,207.97
10.0,5.0,13.0,170.36
4.0,5.0,2.0,251.24
5.0,6.0,4.0,204.13
100.0,6.0,14.0,163.43
100.0,6.0,5.0,208.73
1000.0,1.0,2.0,969.27
6.0,3.0,8.0,206.15
100.0,3.0,16.0,186.05
7.0,2.0,3.0,227.96
6.0,1.0,3.0,248.23
5.0,2.0,1.0,359.04
4.0,3.0,18.0,170.91
1000.0,5.0,15.0,735.29
100.0,4.0,1.0,325.13
5.0,6.0,8.0,190.93
5.0,2.0,16.0,185.05
10.0,1.0,2.0,267.27
3.0,5.0,15.0,186.5
100.0,4.0,12.0,163.24
3.0,4.0,17.0,180.59
7.0,6.0,13.0,175.36
4.0,3.0,6.0,215.49
3.0,1.0,14.0,201.8
8.0,1.0,9.0,238.17
9.0,3.0,7.0,197.1
4.0,4.0,18.0,177.62
7.0,1.0,4.0,269.46
1.0,2.0,12.0,208.02
100.0,5.0,7.0,176.34
3.0,2.0,9.0,219.19
100.0,2.0,2.0,247.46
4.0,5.0,16.0,189.39
2.0,1.0,17.0,194.45
4.0,3.0,12.0,187.9
10000.0,1.0,8.0,6573.1
3.0,1.0,11.0,199.7
1.0,6.0,11.0,219.26
1000.0,5.0,18.0,745.67
2.0,4.0,10.0,194.84
8.0,1.0,3.0,243.89
2.0,2.0,3.0,255.64
10.0,6.0,5.0,216.8
9.0,6.0,12.0,174.72
10000.0,1.0,6.0,7637.4
4.0,4.0,5.0,206.77
4.0,4.0,6.0,213.07
1.0,6.0,4.0,236.23
7.0,2.0,6.0,223.04
2.0,1.0,3.0,250.71
7.0,5.0,2.0,260.7
10.0,1.0,13.0,214.05
8.0,4.0,10.0,175.81
7.0,4.0,3.0,219.55
7.0,2.0,5.0,217.23
2.0,4.0,15.0,167.28
5.0,3.0,14.0,203.26
10.0,5.0,12.0,178.32
4.0,3.0,17.0,160.5
9.0,2.0,9.0,204.49
1.0,1.0,10.0,247.74
3.0,2.0,15.0,197.79
7.0,2.0,14.0,179.07
8.0,6.0,18.0,173.09
100.0,3.0,11.0,188.22
6.0,3.0,10.0,192.25
7.0,6.0,2.0,239.88
100.0,6.0,13.0,178.45
2.0,5.0,1.0,354.76
100.0,5.0,13.0,168.73
10.0,5.0,4.0,201.08
10000.0,2.0,16.0,5072.2
1.0,5.0,1.0,402.22
9.0,6.0,2.0,223.74
5.0,3.0,13.0,201.25
10.0,5.0,17.0,172.35
9.0,2.0,3.0,233.96
5.0,3.0,11.0,200.19
10.0,4.0,2.0,240.19
3.0,5.0,17.0,158.35
7.0,6.0,11.0,183.12
7.0,6.0,16.0,178.17
2.0,5.0,8.0,206.31
1000.0,2.0,3.0,859.05
7.0,4.0,8.0,208.42
9.0,4.0,4.0,217.16
3.0,6.0,2.0,237.77
10000.0,1.0,15.0,7905.4
2.0,1.0,13.0,237.44
9.0,5.0,15.0,172.75
9.0,4.0,14.0,181.76
8.0,4.0,14.0,185.12
1000.0,4.0,1.0,955.96
5.0,2.0,2.0,259.18
9.0,4.0,3.0,212.77
2.0,6.0,8.0,202.27
4.0,4.0,2.0,248.93
7.0,5.0,7.0,210.39
2.0,3.0,17.0,190.63
8.0,3.0,18.0,161.8
10.0,1.0,6.0,247.31
100.0,6.0,3.0,218.27
1000.0,3.0,14.0,819.15
3.0,3.0,13.0,176.05
9.0,1.0,1.0,349.51
5.0,5.0,1.0,338.59
1.0,3.0,1.0,416.37
8.0,3.0,10.0,183.2
100.0,2.0,18.0,191.8
1000.0,4.0,17.0,748.03
3.0,4.0,11.0,201.36
100.0,3.0,13.0,175.88
7.0,1.0,16.0,229.42
100.0,2.0,6.0,198.23
5.0,6.0,10.0,172.33
1000.0,1.0,7.0,941.23
9.0,5.0,14.0,180.53
8.0,5.0,18.0,168.9
10.0,2.0,17.0,169.34
5.0,3.0,2.0,243.76
1000.0,1.0,18.0,921.52
4.0,5.0,4.0,222.95
1.0,6.0,17.0,176.57
1000.0,2.0,6.0,829.61
6.0,3.0,13.0,173.96
10.0,6.0,18.0,148.88
1.0,2.0,10.0,221.13
5.0,6.0,1.0,336.16
7.0,6.0,5.0,222.37
10.0,6.0,1.0,337.42
3.0,2.0,2.0,265.24
10.0,4.0,13.0,173.95
6.0,1.0,18.0,230.71
4.0,1.0,6.0,237.17
6.0,6.0,10.0,179.76
5.0,6.0,9.0,185.28
100.0,2.0,4.0,209.07
7.0,5.0,11.0,202.99
100.0,5.0,11.0,186.86
5.0,2.0,4.0,224.41
9.0,1.0,14.0,185.15
100.0,3.0,18.0,168.52
10000.0,3.0,1.0,7782.2
1.0,2.0,7.0,214.55
10000.0,2.0,11.0,5515.8
1000.0,4.0,16.0,794.02
4.0,5.0,7.0,206.56
1.0,3.0,8.0,225.83
1000.0,6.0,12.0,759.06
5.0,5.0,7.0,193.77
5.0,2.0,12.0,191.29
7.0,2.0,9.0,210.41
10.0,3.0,1.0,325.3
7.0,6.0,15.0,186.39
2.0,4.0,4.0,233.05
10000.0,1.0,1.0,9421.0
1.0,4.0,6.0,221.13
3.0,3.0,16.0,172.01
3.0,3.0,3.0,228.82
9.0,4.0,8.0,190.93
6.0,2.0,7.0,222.3
2.0,1.0,12.0,240.13
7.0,4.0,15.0,160.6
3.0,5.0,13.0,189.93
7.0,3.0,16.0,191.77
2.0,3.0,16.0,184.12
9.0,2.0,11.0,186.58
3.0,5.0,3.0,229.53
9.0,6.0,14.0,170.67
8.0,1.0,18.0,228.11
1.0,1.0,17.0,191.92
5.0,3.0,5.0,221.88
6.0,5.0,10.0,176.3
10.0,4.0,16.0,198.8
6.0,5.0,13.0,173.48
1.0,1.0,14.0,198.18
1000.0,2.0,7.0,869.31
6.0,4.0,2.0,247.85
7.0,3.0,9.0,183.62
7.0,6.0,6.0,192.84
4.0,2.0,8.0,207.97
10.0,5.0,13.0,170.36
4.0,5.0,2.0,251.24
5.0,6.0,4.0,204.13
100.0,6.0,14.0,163.43
100.0,6.0,5.0,208.73
1000.0,1.0,2.0,969.27
6.0,3.0,8.0,206.15
100.0,3.0,16.0,186.05
7.0,2.0,3.0,227.96
6.0,1.0,3.0,248.23
5.0,2.0,1.0,359.04
4.0,3.0,18.0,170.91
1000.0,5.0,15.0,735.29
100.0,4.0,1.0,325.13
5.0,6.0,8.0,190.93
5.0,2.0,16.0,185.05
10.0,1.0,2.0,267.27
3.0,5.0,15.0,186.5
100.0,4.0,12.0,163.24
3.0,4.0,17.0,180.59
7.0,6.0,13.0,175.36
4.0,3.0,6.0,215.49
3.0,1.0,14.0,201.8
8.0,1.0,9.0,238.17
9.0,3.0,7.0,197.1
4.0,4.0,18.0,177.62
7.0,1.0,4.0,269.46
1.0,2.0,12.0,208.02
100.0,5.0,7.0,176.34
