0,1,2,3,4,5,Actual_Performance
1.0,100.0,2.0,10.0,100000.0,1000.0,37.157
1.0,10.0,1.0,60.0,100000.0,10000.0,8.6452
3.0,10000.0,2.0,1.0,2000000.0,1000.0,9791.6
1.0,100.0,6.0,1.0,1000000.0,1000.0,18.833
1.0,1000.0,18.0,60.0,10000000.0,100000.0,138.34
1.0,100.0,12.0,60.0,2000000.0,100000.0,21.03
3.0,1000.0,3.0,300.0,100000.0,1000.0,188.73
3.0,10.0,6.0,10.0,1000000.0,1000.0,18.988
1.0,1000.0,9.0,60.0,100000.0,1000.0,87.35700000000001
3.0,1000.0,1.0,10.0,1000000.0,10000.0,27309.0
1.0,1000.0,9.0,60.0,2000000.0,1000.0,95.21600000000001
3.0,10.0,12.0,1.0,10000000.0,100000.0,30.605999999999998
3.0,10000.0,18.0,300.0,100000.0,10000.0,1110.1
3.0,100.0,18.0,1.0,1000000.0,1000.0,68.86399999999999
1.0,10.0,9.0,1.0,1000000.0,1000.0,2.3494
1.0,100.0,12.0,60.0,1000000.0,100000.0,17.707
1.0,100.0,18.0,300.0,2000000.0,10000.0,38.048
1.0,100.0,9.0,10.0,100000.0,1000.0,20.706
1.0,1000.0,6.0,10.0,10000000.0,10000.0,113.83
1.0,100.0,1.0,10.0,100000.0,100000.0,1867.1
3.0,10000.0,12.0,300.0,1000000.0,1000.0,1096.7
1.0,1000.0,9.0,120.0,10000000.0,10000.0,102.69
1.0,10.0,12.0,300.0,100000.0,100000.0,2.5449
1.0,100.0,9.0,300.0,10000000.0,10000.0,20.963
3.0,100.0,12.0,300.0,1000000.0,10000.0,67.723
3.0,1000.0,1.0,120.0,2000000.0,100000.0,20096.0
3.0,100.0,6.0,10.0,100000.0,10000.0,65.065
1.0,10.0,3.0,120.0,100000.0,100000.0,2.0
1.0,100.0,18.0,300.0,100000.0,10000.0,37.874
3.0,1000.0,1.0,60.0,10000000.0,10000.0,26484.0
3.0,100.0,9.0,10.0,10000000.0,1000.0,89.837
