spouts,max_spout,sorters,emit_freq,chunk_size,message_size,$<latency
1,10,1,1,100000.0,1000.0,3.9833
1,10,1,1,100000.0,10000.0,18.415
1,10,1,1,100000.0,100000.0,217.63
1,10,1,1,1000000.0,1000.0,5.1952
1,10,1,1,1000000.0,10000.0,24.247
1,10,1,1,1000000.0,100000.0,205.49
1,10,1,1,2000000.0,1000.0,5.2935
1,10,1,1,2000000.0,10000.0,25.039
1,10,1,1,2000000.0,100000.0,220.62
1,10,1,1,10000000.0,1000.0,6.2867
1,10,1,1,10000000.0,10000.0,24.975
1,10,1,1,10000000.0,100000.0,236.19
1,10,1,10,100000.0,1000.0,3.4782
1,10,1,10,100000.0,10000.0,9.2847
1,10,1,10,100000.0,100000.0,83.236
1,10,1,10,1000000.0,1000.0,3.6594
1,10,1,10,1000000.0,10000.0,11.804
1,10,1,10,1000000.0,100000.0,73.786
1,10,1,10,2000000.0,1000.0,3.7151
1,10,1,10,2000000.0,10000.0,10.755
1,10,1,10,2000000.0,100000.0,78.624
1,10,1,10,10000000.0,1000.0,4.3637
1,10,1,10,10000000.0,10000.0,14.308
1,10,1,10,10000000.0,100000.0,71.492
1,10,1,60,100000.0,1000.0,3.8521
1,10,1,60,100000.0,10000.0,8.6452
1,10,1,60,100000.0,100000.0,79.862
1,10,1,60,1000000.0,1000.0,3.9048
1,10,1,60,1000000.0,10000.0,9.345
1,10,1,60,1000000.0,100000.0,66.852
1,10,1,60,2000000.0,1000.0,3.5738
1,10,1,60,2000000.0,10000.0,9.2784
1,10,1,60,2000000.0,100000.0,74.418
1,10,1,60,10000000.0,1000.0,4.3685
1,10,1,60,10000000.0,10000.0,12.267000000000001
1,10,1,60,10000000.0,100000.0,90.521
1,10,1,120,100000.0,1000.0,3.52
1,10,1,120,100000.0,10000.0,8.645
1,10,1,120,100000.0,100000.0,73.396
1,10,1,120,1000000.0,1000.0,3.9642
1,10,1,120,1000000.0,10000.0,9.7595
1,10,1,120,1000000.0,100000.0,64.184
1,10,1,120,2000000.0,1000.0,3.6288
1,10,1,120,2000000.0,10000.0,8.637
1,10,1,120,2000000.0,100000.0,70.385
