max_spout,spliters,counters,$<throughput
1.0,1,1,24.248890613254446
1.0,1,3,24.3985751232128
1.0,1,6,23.94120041178865
1.0,1,9,24.634182391486426
1.0,1,12,24.8015873015873
1.0,1,15,25.104812592573996
1.0,1,18,24.389054192478415
1.0,2,1,24.407507749383708
1.0,2,3,23.732675147142583
1.0,2,6,24.253007372914244
1.0,2,9,23.73830888287518
1.0,2,12,23.670880083321496
1.0,2,15,23.8498413985547
1.0,2,18,23.6412208326438
1.0,3,1,20.53430255241381
1.0,3,3,21.08459138061904
1.0,3,6,21.070819022735414
1.0,3,9,21.522965003658904
1.0,3,12,21.78839114519784
1.0,3,15,21.34790683773456
1.0,3,18,21.767996691264504
1.0,6,1,20.620257340811612
1.0,6,3,20.616856341745013
1.0,6,6,21.20081411126187
1.0,6,9,21.88950179493915
1.0,6,12,21.559158330458782
1.0,6,15,21.541974537386096
1.0,6,18,21.266188886289687
10.0,1,1,13.34258419170625
10.0,1,3,7.880220646178093
10.0,1,6,7.495689978262499
10.0,1,9,7.820442637053257
10.0,1,12,7.571168988491823
10.0,1,15,7.664009809932557
10.0,1,18,7.343222205903951
10.0,2,1,14.542916145545504
10.0,2,3,7.195279896387969
10.0,2,6,5.732301519059902
10.0,2,9,5.360205831903945
10.0,2,12,5.204267499349466
10.0,2,15,5.386770092652446
10.0,2,18,5.2988554472234
10.0,3,1,13.84773035699449
10.0,3,3,7.1285999429712
10.0,3,6,6.213495712687958
10.0,3,9,6.235191420376606
10.0,3,12,6.6498204548477196
10.0,3,15,6.338340622425049
10.0,3,18,6.1888847629657135
10.0,6,1,13.159453093129448
10.0,6,3,6.07976653696498
10.0,6,6,5.685694791903571
10.0,6,9,5.453454763592736
10.0,6,12,5.6141926790927466
10.0,6,15,5.375188131584605
10.0,6,18,5.650675255693056
100.0,1,1,11.627771770095697
100.0,1,3,5.694436535504812
100.0,1,6,5.576311827357386
100.0,1,9,5.070736778053851
100.0,1,12,4.906289863605142
100.0,1,15,5.5909650005590965
100.0,1,18,4.7167586434602145
100.0,2,1,13.025412579943469
100.0,2,3,5.3222630262387565
100.0,2,6,4.585262964831033
100.0,2,9,4.163370664890295
100.0,2,12,3.83479694750163
100.0,2,15,3.5217467864060574
100.0,2,18,3.5205069530012323
100.0,3,1,12.715043167571555
100.0,3,3,5.599104143337066
100.0,3,6,4.981071926678621
100.0,3,9,4.630487127245786
100.0,3,12,4.830684507994783
100.0,3,15,4.981320049813201
100.0,3,18,5.099439061703213
100.0,6,1,11.578362356428308
100.0,6,3,5.176519308417021
100.0,6,6,4.693733865289838
100.0,6,9,4.537410953310041
100.0,6,12,4.26075841499787
100.0,6,15,4.546901286773064
100.0,6,18,4.177109440267335
1000.0,1,1,11.066598791527412
1000.0,1,3,4.839099927413501
1000.0,1,6,4.519365481086456
1000.0,1,9,4.9972515116685825
1000.0,1,12,4.4010210368805565
1000.0,1,15,4.815100154083205
1000.0,1,18,4.187955440154116
1000.0,2,1,12.894740235457956
1000.0,2,3,4.526320554021636
1000.0,2,6,3.4812880765883376
1000.0,2,9,3.4160005465600873
1000.0,2,12,2.9495914815798012
1000.0,2,15,2.816266756787203
1000.0,2,18,2.9372888823615804
1000.0,3,1,12.430853378084405
1000.0,3,3,5.3604931653712145
1000.0,3,6,4.923198109491926
1000.0,3,9,4.856962455680217
1000.0,3,12,4.863340142009532
1000.0,3,15,5.05663430420712
1000.0,3,18,4.739785761683572
1000.0,6,1,10.950623638016186
1000.0,6,3,4.6583127591186475
1000.0,6,6,3.994407829039345
1000.0,6,9,4.10475330432641
1000.0,6,12,4.175191014988935
1000.0,6,15,4.049730692908922
1000.0,6,18,4.188306248952923
10000.0,1,1,11.352541834116659
10000.0,1,3,6.2441461130190445
10000.0,1,6,5.334755934915978
10000.0,1,9,5.521201413427562
10000.0,1,12,5.212677231025855
10000.0,1,15,5.205622071837585
10000.0,1,18,5.176787285810426
10000.0,2,1,14.463825971245914
10000.0,2,3,4.168403501458942
10000.0,2,6,3.614022406938923
10000.0,2,9,3.2530904359141184
10000.0,2,12,3.1357792411414236
10000.0,2,15,3.5932446999640675
10000.0,2,18,3.2361412252030677
10000.0,3,1,12.254901960784315
10000.0,3,3,5.47855147099107
10000.0,3,6,6.242976651267324
10000.0,3,9,5.163688939378292
10000.0,3,12,5.3376034160661865
10000.0,3,15,5.30307047780665
10000.0,3,18,5.260389268805891
10000.0,6,1,12.409873295193655
10000.0,6,3,5.177055290950507
10000.0,6,6,3.7075485688862524
10000.0,6,9,3.9041149371437496
10000.0,6,12,3.7074111148185223
10000.0,6,15,3.996323382488111
10000.0,6,18,3.8919592122674556
100000.0,1,1,13.430570664947554
100000.0,1,3,5.793742757821553
100000.0,1,6,5.386189809328881
100000.0,1,9,5.453752181500873
100000.0,1,12,5.613562366677894
100000.0,1,15,4.758958739827726
100000.0,1,18,4.953928465272962
100000.0,2,1,16.10461558282604
100000.0,2,3,4.190412336573919
100000.0,2,6,3.7126415444588825
100000.0,2,9,3.4450683846074344
100000.0,2,12,3.3452647777071554
100000.0,2,15,3.411688444611238
100000.0,2,18,3.089661990978187
100000.0,3,1,10.011112334691507
100000.0,3,3,5.506911173522771
100000.0,3,6,5.74514535217741
100000.0,3,9,4.652028284331969
