spouts,max_spout,sorters,emit_freq,chunk_size,message_size,$<throughput
1,10,1,1,100000.0,1000.0,4.413646996513219
1,10,1,1,100000.0,10000.0,27.806356533103465
1,10,1,1,100000.0,100000.0,888.4150675195451
1,10,1,1,1000000.0,1000.0,8.147967082212988
1,10,1,1,1000000.0,10000.0,85.11362669163333
1,10,1,1,1000000.0,100000.0,893.8148015731141
1,10,1,1,2000000.0,1000.0,8.316699933466401
1,10,1,1,2000000.0,10000.0,86.85833405715279
1,10,1,1,2000000.0,100000.0,1060.5128640210405
1,10,1,1,10000000.0,1000.0,8.65650969529086
1,10,1,1,10000000.0,10000.0,81.4265939255761
1,10,1,1,10000000.0,100000.0,977.6126698602013
1,10,1,10,100000.0,1000.0,3.849411040110863
1,10,1,10,100000.0,10000.0,9.889240506329115
1,10,1,10,100000.0,100000.0,97.67532721234616
1,10,1,10,1000000.0,1000.0,4.141301196836046
1,10,1,10,1000000.0,10000.0,11.904478464798457
1,10,1,10,1000000.0,100000.0,83.51428094204108
1,10,1,10,2000000.0,1000.0,4.374835943652113
1,10,1,10,2000000.0,10000.0,14.003052665481075
1,10,1,10,2000000.0,100000.0,91.31586156515388
1,10,1,10,10000000.0,1000.0,4.406645220993258
1,10,1,10,10000000.0,10000.0,15.919764387487065
1,10,1,10,10000000.0,100000.0,105.12262554269556
1,10,1,60,100000.0,1000.0,3.866676977805274
1,10,1,60,100000.0,10000.0,9.208951100469656
1,10,1,60,100000.0,100000.0,88.5896527285613
1,10,1,60,1000000.0,1000.0,4.245743641998896
1,10,1,60,1000000.0,10000.0,10.272952343774078
1,10,1,60,1000000.0,100000.0,101.83299389002036
1,10,1,60,2000000.0,1000.0,3.9357682619647356
1,10,1,60,2000000.0,10000.0,12.509538523123883
1,10,1,60,2000000.0,100000.0,94.64319515426841
1,10,1,60,10000000.0,1000.0,3.975985050296211
1,10,1,60,10000000.0,10000.0,15.40808308038397
1,10,1,60,10000000.0,100000.0,112.31790459717183
1,10,1,120,100000.0,1000.0,3.88968843595628
1,10,1,120,100000.0,10000.0,9.249838127832763
1,10,1,120,100000.0,100000.0,76.3242253091131
1,10,1,120,1000000.0,1000.0,4.008016032064128
1,10,1,120,1000000.0,10000.0,10.45522029149154
1,10,1,120,1000000.0,100000.0,77.07129094412332
1,10,1,120,2000000.0,1000.0,3.9820013538804604
