spouts,max_spout,topology_level,netty_min_wait,message_size,bolts,$<throughput
1,1,2,10,10.0,1,13.570730648138095
1,1,2,10,10.0,2,13.815016923395731
1,1,2,10,10.0,3,13.31026221216558
1,1,2,10,10.0,6,13.443389885193449
1,1,2,10,100.0,1,13.540044682147451
1,1,2,10,100.0,2,13.67727111086796
1,1,2,10,100.0,3,13.119743902599021
1,1,2,10,100.0,6,13.489997167100595
1,1,2,10,1000.0,1,13.6317784018103
1,1,2,10,1000.0,2,13.452613170108293
1,1,2,10,1000.0,3,13.108565136460163
1,1,2,10,1000.0,6,13.358090327406794
1,1,2,10,10000.0,1,25.02565129257489
1,1,2,10,10000.0,2,23.60439041661749
1,1,2,10,10000.0,3,15.462403166700168
1,1,2,10,10000.0,6,15.99616092137887
1,1,2,10,100000.0,1,50.410848414578815
1,1,2,10,100000.0,2,44.29286441954201
1,1,2,10,100000.0,3,28.982986986638842
1,1,2,10,100000.0,6,27.753878604534986
1,1,2,10,1000000.0,1,293.8324567331708
1,1,2,10,1000000.0,2,303.1956824934813
1,1,2,10,1000000.0,3,196.54860647038012
1,1,2,10,1000000.0,6,197.2153196860332
1,1,2,100,10.0,1,14.119308153900459
1,1,2,100,10.0,2,14.287551256590133
1,1,2,100,10.0,3,13.203237433818773
1,1,2,100,10.0,6,13.148898122337348
1,1,2,100,100.0,1,13.626948653657474
1,1,2,100,100.0,2,14.169524187377789
1,1,2,100,100.0,3,13.078049801213643
1,1,2,100,100.0,6,12.968150223052184
1,1,2,100,1000.0,1,13.663255407233327
1,1,2,100,1000.0,2,14.107755032941608
1,1,2,100,1000.0,3,13.950503613180436
1,1,2,1000,10.0,3,13.276862411874827
1,1,2,1000,10.0,6,13.475817645235624
1,1,2,1000,100.0,1,13.652995467205505
1,1,2,1000,100.0,2,13.563368055555555
1,1,2,1000,100.0,3,13.394411851375606
1,1,2,1000,100.0,6,13.749295348613384
1,1,2,1000,1000.0,1,13.416515730864694
1,1,2,1000,1000.0,2,13.21056316630778
1,1,2,1000,1000.0,3,13.304772421867723
1,1,2,1000,1000.0,6,13.399437223636607
1,1,2,1000,10000.0,1,22.889580662882256
1,1,2,1000,10000.0,2,20.982395769949015
1,1,2,1000,10000.0,3,16.110323495295788
1,1,2,1000,10000.0,6,14.589807560438278
1,1,2,1000,100000.0,1,45.257060101375814
1,1,2,1000,100000.0,2,42.34775980350639
1,1,2,1000,100000.0,3,28.270149549091112
1,1,2,1000,100000.0,6,27.79785400567076
1,1,2,1000,1000000.0,1,294.02252212519477
1,1,2,1000,1000000.0,2,290.79065980400713
1,1,2,1000,1000000.0,3,182.79530581654666
1,1,2,1000,1000000.0,6,184.72337674332687
1,1,3,10,10.0,1,15.516144548402615
1,1,3,10,10.0,2,15.061375103546954
1,1,3,10,10.0,3,14.546935687997323
1,1,3,10,10.0,6,14.84230055658627
1,1,3,10,100.0,1,15.293325992536856
1,1,3,10,100.0,2,14.851558671082529
1,1,3,10,100.0,3,14.848250876046801
1,1,3,10,100.0,6,14.786556063227314
1,1,3,10,1000.0,1,15.88739017841539
1,1,3,10,1000.0,2,15.181187472484098
1,1,3,10,1000.0,3,15.191334862594376
1,1,3,10,1000.0,6,15.082728767288577
1,1,3,10,10000.0,1,37.1126368528484
1,1,3,10,10000.0,2,23.436218331809982
1,1,3,10,10000.0,3,22.94735875900684
1,1,3,10,10000.0,6,22.61113372224483
1,1,3,10,100000.0,1,75.60864962951763
1,1,3,10,100000.0,2,59.44596361907026
1,1,3,10,100000.0,3,51.122130770410514
1,1,3,10,100000.0,6,53.85609651012495
1,1,3,10,1000000.0,1,421.7451815613006
1,1,3,10,1000000.0,2,325.26671870934166
1,1,3,10,1000000.0,3,378.5441193171064
1,1,3,10,1000000.0,6,363.55704209990546
1,1,3,100,10.0,1,14.905351021016545
1,1,3,100,10.0,2,14.570250462605452
1,1,3,100,10.0,3,14.893585332797164
1,1,3,100,10.0,6,15.123330762367104
1,1,3,100,100.0,1,15.798037883694846
1,1,3,100,100.0,2,15.196182718901012
1,1,3,100,100.0,3,15.277905093653558
1,1,3,100,100.0,6,15.351786180322081
1,1,3,100,1000.0,1,15.854393252370233
1,1,3,100,1000.0,2,15.072498718837608
1,1,3,100,1000.0,3,15.178191973772085
1,1,3,100,1000.0,6,15.667350807651935
1,1,3,100,10000.0,1,35.128394281097414
1,1,3,100,10000.0,2,23.18303002202388
1,1,3,100,10000.0,3,24.222459064044184
1,1,3,100,10000.0,6,24.513408834632543
1,1,3,100,100000.0,1,74.00828892835997
1,1,3,100,100000.0,2,61.143381228981966
1,1,3,100,100000.0,3,52.16756220981793
1,1,3,100,100000.0,6,53.54465624330692
1,1,3,100,1000000.0,1,408.44667728628025
1,1,3,100,1000000.0,2,328.52590426755154
1,1,3,100,1000000.0,3,338.30643797151464
1,1,3,100,1000000.0,6,336.82508673245985
1,1,3,1000,10.0,1,15.411407523849153
1,1,3,1000,10.0,2,15.390534821085033
1,1,3,1000,10.0,3,15.278371936686428
1,1,3,1000,10.0,6,15.323791719022955
1,1,3,1000,100.0,1,15.397170000153972
1,1,3,1000,100.0,2,15.281640636938782
1,1,3,1000,100.0,3,15.304560759106213
1,1,3,1000,100.0,6,15.427813261748279
1,1,3,1000,1000.0,1,15.72871118940514
1,1,3,1000,1000.0,2,15.269273640652914
1,1,3,1000,1000.0,3,15.86495748191395
1,1,3,1000,1000.0,6,15.408557913064918
1,1,3,1000,10000.0,1,37.757221068529354
1,1,3,1000,10000.0,2,23.597706302947355
1,1,3,1000,10000.0,3,23.561566372932475
1,1,3,1000,10000.0,6,23.924017320988543
1,1,3,1000,100000.0,1,72.98204641658153
1,1,3,1000,100000.0,2,58.0585229911751
